14585A Exported Waveform
Samplerate:0.00100352
Time,Active Instrument A Channel 1 Voltage Avg,Active Instrument A Channel 1 Current Avg,Active Instrument A Channel 1 Power Avg
0,0,0,0
0.00100352,0,0,0
0.00200704,0,0,0
0.00301056,0,0,0
0.00401408,0,0,0
0.0050176,0,0,0
0.00602112,0,0,0
0.00702464,0,0,0
0.00802816,0,0,0
0.00903168,0,0,0
0.0100352,0,0,0
0.01103872,0,0,0
0.01204224,0,0,0
0.01304576,0,0,0
0.01404928,0,0,0
0.0150528,0,0,0
0.01605632,0,0,0
0.01705984,0,0,0
0.01806336,0,0,0
0.01906688,0,0,0
0.0200704,0,0,0
0.02107392,0,0,0
0.02207744,0,0,0
0.02308096,0,0,0
0.02408448,0,0,0
0.025088,0,0,0
0.02609152,0,0,0
0.02709504,0,0,0
0.02809856,0,0,0
0.02910208,0,0,0
0.0301056,0,0,0
0.03110912,0,0,0
0.03211264,0,0,0
0.03311616,0,0,0
0.03411968,0,0,0
0.0351232,0,0,0
0.03612672,0,0,0
0.03713024,0,0,0
0.03813376,0,0,0
0.03913728,0,0,0
0.0401408,0,0,0
0.04114432,0,0,0
0.04214784,0,0,0
0.04315136,0,0,0
0.04415488,0,0,0
0.0451584,0,0,0
0.04616192,0,0,0
0.04716544,0,0,0
0.04816896,0,0,0
0.04917248,0,0,0
0.050176,0,0,0
0.05117952,0,0,0
0.05218304,0,0,0
0.05318656,0,0,0
0.05419008,0,0,0
0.0551936,0,0,0
0.05619712,0,0,0
0.05720064,0,0,0
0.05820416,0,0,0
0.05920768,0,0,0
0.0602112,0,0,0
0.06121472,0,0,0
0.06221824,0,0,0
0.06322176,0,0,0
0.06422528,0,0,0
0.0652288,0,0,0
0.06623232,0,0,0
0.06723584,0,0,0
0.06823936,0,0,0
0.06924288,0,0,0
0.0702464,0,0,0
0.07124992,0,0,0
0.07225344,0,0,0
0.07325696,0,0,0
0.07426048,0,0,0
0.075264,0,0,0
0.07626752,0,0,0
0.07727104,0,0,0
0.07827456,0,0,0
0.07927808,0,0,0
0.0802816,0,0,0
0.08128512,0,0,0
0.08228864,0,0,0
0.08329216,0,0,0
0.08429568,0,0,0
0.0852992,0,0,0
0.08630272,0,0,0
0.08730624,0,0,0
0.08830976,0,0,0
0.08931328,0,0,0
0.0903168,0,0,0
0.09132032,0,0,0
0.09232384,0,0,0
0.09332736,0,0,0
0.09433088,0,0,0
0.0953344,0,0,0
0.09633792,0,0,0
0.09734144,0,0,0
0.09834496,0,0,0
0.09934848,0,0,0
0.100352,0,0,0
0.10135552,0,0,0
0.10235904,0,0,0
0.10336256,0,0,0
0.10436608,0,0,0
0.1053696,0,0,0
0.10637312,0,0,0
0.10737664,0,0,0
0.10838016,0,0,0
0.10938368,0,0,0
0.1103872,0,0,0
0.11139072,0,0,0
0.11239424,0,0,0
0.11339776,0,0,0
0.11440128,0,0,0
0.1154048,0,0,0
0.11640832,0,0,0
0.11741184,0,0,0
0.11841536,0,0,0
0.11941888,0,0,0
0.1204224,0,0,0
0.12142592,0,0,0
0.12242944,0,0,0
0.12343296,0,0,0
0.12443648,0,0,0
0.12544,0,0,0
0.12644352,0,0,0
0.12744704,0,0,0
0.12845056,0,0,0
0.12945408,0,0,0
0.1304576,0,0,0
0.13146112,0,0,0
0.13246464,0,0,0
0.13346816,0,0,0
0.13447168,0,0,0
0.1354752,0,0,0
0.13647872,0,0,0
0.13748224,0,0,0
0.13848576,0,0,0
0.13948928,0,0,0
0.1404928,0,0,0
0.14149632,0,0,0
0.14249984,0,0,0
0.14350336,0,0,0
0.14450688,0,0,0
0.1455104,0,0,0
0.14651392,0,0,0
0.14751744,0,0,0
0.14852096,0,0,0
0.14952448,0,0,0
0.150528,0,0,0
0.15153152,0,0,0
0.15253504,0,0,0
0.15353856,0,0,0
0.15454208,0,0,0
0.1555456,0,0,0
0.15654912,0,0,0
0.15755264,0,0,0
0.15855616,0,0,0
0.15955968,0,0,0
0.1605632,0,0,0
0.16156672,0,0,0
0.16257024,0,0,0
0.16357376,0,0,0
0.16457728,0,0,0
0.1655808,0,0,0
0.16658432,0,0,0
0.16758784,0,0,0
0.16859136,0,0,0
0.16959488,0,0,0
0.1705984,0,0,0
0.17160192,0,0,0
0.17260544,0,0,0
0.17360896,0,0,0
0.17461248,0,0,0
0.175616,0,0,0
0.17661952,0,0,0
0.17762304,0,0,0
0.17862656,0,0,0
0.17963008,0,0,0
0.1806336,0,0,0
0.18163712,0,0,0
0.18264064,0,0,0
0.18364416,0,0,0
0.18464768,0,0,0
0.1856512,0,0,0
0.18665472,0,0,0
0.18765824,0,0,0
0.18866176,0,0,0
0.18966528,0,0,0
0.1906688,0,0,0
0.19167232,0,0,0
0.19267584,0,0,0
0.19367936,0,0,0
0.19468288,0,0,0
0.1956864,0,0,0
0.19668992,0,0,0
0.19769344,0,0,0
0.19869696,0,0,0
0.19970048,0,0,0
0.200704,0,0,0
0.20170752,0,0,0
0.20271104,0,0,0
0.20371456,0,0,0
0.20471808,0,0,0
0.2057216,0,0,0
0.20672512,0,0,0
0.20772864,0,0,0
0.20873216,0,0,0
0.20973568,0,0,0
0.2107392,0,0,0
0.21174272,0,0,0
0.21274624,0,0,0
0.21374976,0,0,0
0.21475328,0,0,0
0.2157568,0,0,0
0.21676032,0,0,0
0.21776384,0,0,0
0.21876736,0,0,0
0.21977088,0,0,0
0.2207744,0,0,0
0.22177792,0,0,0
0.22278144,0,0,0
0.22378496,0,0,0
0.22478848,0,0,0
0.225792,0,0,0
0.22679552,0,0,0
0.22779904,0,0,0
0.22880256,0,0,0
0.22980608,0,0,0
0.2308096,0,0,0
0.23181312,0,0,0
0.23281664,0,0,0
0.23382016,0,0,0
0.23482368,0,0,0
0.2358272,0,0,0
0.23683072,0,0,0
0.23783424,0,0,0
0.23883776,0,0,0
0.23984128,0,0,0
0.2408448,0,0,0
0.24184832,0,0,0
0.24285184,0,0,0
0.24385536,0,0,0
0.24485888,0,0,0
0.2458624,0,0,0
0.24686592,0,0,0
0.24786944,0,0,0
0.24887296,0,0,0
0.24987648,0,0,0
0.25088,0,0,0
0.25188352,0,0,0
0.25288704,0,0,0
0.25389056,0,0,0
0.25489408,0,0,0
0.2558976,0,0,0
0.25690112,0,0,0
0.25790464,0,0,0
0.25890816,0,0,0
0.25991168,0,0,0
0.2609152,0,0,0
0.26191872,0,0,0
0.26292224,0,0,0
0.26392576,0,0,0
0.26492928,0,0,0
0.2659328,0,0,0
0.26693632,0,0,0
0.26793984,0,0,0
0.26894336,0,0,0
0.26994688,0,0,0
0.2709504,0,0,0
0.27195392,0,0,0
0.27295744,0,0,0
0.27396096,0,0,0
0.27496448,0,0,0
0.275968,0,0,0
0.27697152,0,0,0
0.27797504,0,0,0
0.27897856,0,0,0
0.27998208,0,0,0
0.2809856,0,0,0
0.28198912,0,0,0
0.28299264,0,0,0
0.28399616,0,0,0
0.28499968,0,0,0
0.2860032,0,0,0
0.28700672,0,0,0
0.28801024,0,0,0
0.28901376,0,0,0
0.29001728,0,0,0
0.2910208,0,0,0
0.29202432,0,0,0
0.29302784,0,0,0
0.29403136,0,0,0
0.29503488,0,0,0
0.2960384,0,0,0
0.29704192,0,0,0
0.29804544,0,0,0
0.29904896,0,0,0
0.30005248,0,0,0
0.301056,0,0,0
0.30205952,0,0,0
0.30306304,0,0,0
0.30406656,0,0,0
0.30507008,0,0,0
0.3060736,0,0,0
0.30707712,0,0,0
0.30808064,0,0,0
0.30908416,0,0,0
0.31008768,0,0,0
0.3110912,0,0,0
0.31209472,0,0,0
0.31309824,0,0,0
0.31410176,0,0,0
0.31510528,0,0,0
0.3161088,0,0,0
0.31711232,0,0,0
0.31811584,0,0,0
0.31911936,0,0,0
0.32012288,0,0,0
0.3211264,0,0,0
0.32212992,0,0,0
0.32313344,0,0,0
0.32413696,0,0,0
0.32514048,0,0,0
0.326144,0,0,0
0.32714752,0,0,0
0.32815104,0,0,0
0.32915456,0,0,0
0.33015808,0,0,0
0.3311616,0,0,0
0.33216512,0,0,0
0.33316864,0,0,0
0.33417216,0,0,0
0.33517568,0,0,0
0.3361792,0,0,0
0.33718272,0,0,0
0.33818624,0,0,0
0.33918976,0,0,0
0.34019328,0,0,0
0.3411968,0,0,0
0.34220032,0,0,0
0.34320384,0,0,0
0.34420736,0,0,0
0.34521088,0,0,0
0.3462144,0,0,0
0.34721792,0,0,0
0.34822144,0,0,0
0.34922496,0,0,0
0.35022848,0,0,0
0.351232,0,0,0
0.35223552,0,0,0
0.35323904,0,0,0
0.35424256,0,0,0
0.35524608,0,0,0
0.3562496,0,0,0
0.35725312,0,0,0
0.35825664,0,0,0
0.35926016,0,0,0
0.36026368,0,0,0
0.3612672,0,0,0
0.36227072,0,0,0
0.36327424,0,0,0
0.36427776,0,0,0
